name,first,last,initials,pos,tags
george arliss,grg,rls,ga,PN,famous
marie dressler,mr,drslr,md,PN,famous
lionel barrymore,lnl,brmr,lb,PN,famous
henry travers,hnr,trvrs,ht,PN,famous
ethel barrymore,thl,brmr,eb,PN,famous
beulah bondi,blh,bnd,bb,PN,famous
edmund gwenn,dmnd,gwn,eg,PN,famous
w. c. fields,w.,flds,check,PN,famous
buster keaton,bstr,ktn,bk,PN,famous
charlie chaplin,chrl,chpln,cc,PN,famous
douglas fairbanks,dgls,frbnks,df,PN,famous
alan hale sr.,ln,sr.,check,PN,famous
charles coburn,chrls,cbrn,cc,PN,famous
bela lugosi,bl,lgs,bl,PN,famous
claude rains,cld,rns,cr,PN,famous
marjorie rambeau,mrjr,rmb,mr,PN,famous
george burns,grg,brns,gb,PN,famous
lon chaney,ln,chn,lc,PN,famous
sydney greenstreet,sdn,grnstrt,sg,PN,famous
walter huston,wltr,hstn,wh,PN,famous
john barrymore,jhn,brmr,jb,PN,famous
billie burke,bl,brk,bb,PN,famous
ed wynn,d,wn,ew,PN,famous
fred astaire,frd,str,fa,PN,famous
charles bickford,chrls,bckfrd,cb,PN,famous
spring byington,sprng,bngtn,sb,PN,famous
al jolson,l,jlsn,aj,PN,famous
ida kamińska,d,kmńsk,ik,PN,famous
gladys cooper,glds,cpr,gc,PN,famous
helen hayes,hln,hs,hh,PN,famous
josephine hull,jsphn,hl,jh,PN,famous
mary pickford,mr,pckfrd,mp,PN,famous
jean hersholt,jn,hrshlt,jh,PN,famous
edward everett horton,dwrd,hrtn,check,PN,famous
eddie cantor,d,cntr,ec,PN,famous
william s. hart,wlm,hrt,check,PN,famous
mae west,m,wst,mw,PN,famous
ruth chatterton,rth,chtrtn,rc,PN,famous
maurice chevalier,mrc,chvlr,mc,PN,famous
donald crisp,dnld,crsp,dc,PN,famous
paul muni,pl,mn,pm,PN,famous
may robson,m,rbsn,mr,PN,famous
roland young,rlnd,ng,ry,PN,famous
harry carey,hr,cr,hc,PN,famous
boris karloff,brs,krlf,bk,PN,famous
jeanette macdonald,jnt,mcdnld,jm,PN,famous
tom mix,tm,mx,tm,PN,famous
fay bainter,f,bntr,fb,PN,famous
edith evans,dth,vns,ee,PN,famous
stan laurel,stn,lrl,sl,PN,famous
elisabeth bergner,lsbth,brgnr,eb,PN,famous
william powell,wlm,pwl,wp,PN,famous
basil rathbone,bsl,rthbn,br,PN,famous
lewis stone,lws,stn,ls,PN,famous
lillian gish,ln,gsh,lg,PN,famous
gene lockhart,gn,lckhrt,gl,PN,famous
wallace beery,wlc,br,wb,PN,famous
jane darwell,jn,drwl,jd,PN,famous
jeanne eagels,jn,gls,je,PN,famous
edward g. robinson,dwrd,rbnsn,check,PN,famous
clifton webb,clftn,wb,cw,PN,famous
warner baxter,wrnr,bxtr,wb,PN,famous
alice brady,lc,brd,ab,PN,famous
ronald colman,rnld,clmn,rc,PN,famous
james gleason,jms,glsn,jg,PN,famous
oliver hardy,lvr,hrd,oh,PN,famous
emil jannings,ml,jngs,ej,PN,famous
adolphe menjou,dlph,mnj,am,PN,famous
frank morgan,frnk,mrgn,fm,PN,famous
gloria swanson,glr,swnsn,gs,PN,famous
rudolph valentino,rdlph,vlntn,rv,PN,famous
h. b. warner,h.,wrnr,check,PN,famous
may whitty,m,wht,mw,PN,famous
betty compson,bt,cmpsn,bc,PN,famous
reginald denny,rgnld,dn,rd,PN,famous
ruth gordon,rth,grdn,rg,PN,famous
bessie love,bs,lv,bl,PN,famous
maria ouspenskaya,mr,spnsk,mo,PN,famous
will rogers,rgrs,,,PN,famous
joseph schildkraut,jsph,schldkrt,js,PN,famous
richard barthelmess,rchrd,brthlms,rb,PN,famous
constance bennett,cnstnc,bnt,cb,PN,famous
douglas fairbanks jr.,dgls,jr.,check,PN,famous
corinne griffith,crn,grfth,cg,PN,famous
paul lukas,pl,lks,pl,PN,famous
thomas mitchell,thms,mtchl,tm,PN,famous
ed begley,d,bgl,eb,PN,famous
leslie howard,lsl,hwrd,lh,PN,famous
vivien leigh,vn,lgh,vl,PN,famous
chester morris,chstr,mrs,cm,PN,famous
edna may oliver,dn,lvr,check,PN,famous
loretta young,lrt,ng,ly,PN,famous
tallulah bankhead,tlh,bnkhd,tb,PN,famous
raymond massey,rmnd,ms,rm,PN,famous
james cagney,jms,cgn,jc,PN,famous
claudette colbert,cldt,clbrt,cc,PN,famous
marlene dietrich,mrln,dtrch,md,PN,famous
gladys george,glds,grg,gg,PN,famous
bob hope,b,hp,bh,PN,famous
norma shearer,nrm,shr,ns,PN,famous
anna may wong,n,wng,check,PN,famous
mary astor,mr,str,ma,PN,famous
charles boyer,chrls,br,cb,PN,famous
jimmy durante,jm,drnt,jd,PN,famous
greta garbo,grt,grb,gg,PN,famous
victor mclaglen,vctr,mclgln,vm,PN,famous
una merkel,n,mrkl,um,PN,famous
grace moore,grc,mr,gm,PN,famous
humphrey bogart,hmphr,bgrt,hb,PN,famous
clara bow,clr,bw,cb,PN,famous
louis calhern,ls,clhrn,lc,PN,famous
richard dix,rchrd,dx,rd,PN,famous
lynn fontanne,ln,fntn,lf,PN,famous
ann harding,n,hrdng,ah,PN,famous
cecil kellaway,cl,klw,ck,PN,famous
carole lombard,crl,lmbrd,cl,PN,famous
fredric march,frdrc,mrch,fm,PN,famous
ralph richardson,rlph,rchrdsn,rr,PN,famous
ray bolger,r,blgr,rb,PN,famous
louise dresser,ls,drsr,ld,PN,famous
irene dunne,rn,dn,id,PN,famous
nelson eddy,nlsn,d,ne,PN,famous
john gielgud,jhn,glgd,jg,PN,famous
cary grant,cr,grnt,cg,PN,famous
anne shirley,n,shrl,as,PN,famous
barbara stanwyck,brbr,stnwck,bs,PN,famous
spencer tracy,spncr,trc,st,PN,famous
jean arthur,jn,rthr,ja,PN,famous
nancy carroll,nc,crl,nc,PN,famous
alfred lunt,lfrd,lnt,al,PN,famous
jack oakie,jck,k,jo,PN,famous
mickey rooney,mck,rn,mr,PN,famous
lawrence tibbett,lwrnc,tbt,lt,PN,famous
fay wray,f,wr,fw,PN,famous
bud abbott,bd,bt,ba,PN,famous
brian aherne,brn,hrn,ba,PN,famous
brian donlevy,brn,dnlv,bd,PN,famous
barry fitzgerald,br,ftzgrld,bf,PN,famous
clark gable,clrk,gbl,cg,PN,famous
janet gaynor,jnt,gnr,jg,PN,famous
robert montgomery,rbrt,mntgmr,rm,PN,famous
george raft,grg,rft,gr,PN,famous
george bancroft,grg,bncrft,gb,PN,famous
shirley booth,shrl,bth,sb,PN,famous
walter brennan,wltr,brn,wb,PN,famous
gary cooper,gr,cpr,gc,PN,famous
joan crawford,jn,crwfrd,jc,PN,famous
dolores del río,dlrs,rí,check,PN,famous
elsa lanchester,ls,lnchstr,el,PN,famous
myrna loy,mrn,l,ml,PN,famous
laurence olivier,lrnc,lvr,lo,PN,famous
walter pidgeon,wltr,pdgn,wp,PN,famous
ginger rogers,gngr,rgrs,gr,PN,famous
margaret rutherford,mrgrt,rthrfrd,mr,PN,famous
lee strasberg,l,strsbrg,ls,PN,famous
lou costello,l,cstl,lc,PN,famous
bing crosby,bng,crsb,bc,PN,famous
william demarest,wlm,dmrst,wd,PN,famous
paulette goddard,plt,gdrd,pg,PN,famous
nancy kelly,nc,kl,nk,PN,famous
charles laughton,chrls,lghtn,cl,PN,famous
j. carrol naish,j.,nsh,check,PN,famous
luise rainer,ls,rnr,lr,PN,famous
sylvia sidney,slv,sdn,ss,PN,famous
jessica tandy,jsc,tnd,jt,PN,famous
franchot tone,frncht,tn,ft,PN,famous
joan blondell,jn,blndl,jb,PN,famous
melvyn douglas,mlvn,dgls,md,PN,famous
george kennedy,grg,knd,gk,PN,famous
joel mccrea,jl,mcr,jm,PN,famous
ann sothern,n,sthrn,as,PN,famous
eve arden,v,rdn,ea,PN,famous
buddy ebsen,bd,bsn,be,PN,famous
henry fonda,hnr,fnd,hf,PN,famous
jean harlow,jn,hrlw,jh,PN,famous
van heflin,vn,hfln,vh,PN,famous
katharine hepburn,kthrn,hpbrn,kh,PN,famous
miriam hopkins,mrm,hpkns,mh,PN,famous
dean jagger,dn,jgr,dj,PN,famous
anna magnani,n,mgn,am,PN,famous
merle oberon,mrl,brn,mo,PN,famous
katina paxinou,ktn,pxn,kp,PN,famous
randolph scott,rndlph,sct,rs,PN,famous
diana wynyard,dn,wnrd,dw,PN,famous
